流水號,大類別,From,post_url,created_time,post_type,postID,post_message,status_type,link,轉貼標題(name),留言數,按讚數,分享數,update_time
1,post,馬英九總統(118250504903757),http://www.facebook.com/118250504903757_1094020483993416,2016/01/19 13:30:10,photo,118250504903757_1094020483993416,昨天我接見了美國前副國務卿伯恩斯（William Burns）先生，他這次以美國高階特使的身份在大選後來到臺灣。上週六選舉結果揭曉後，美國國務院發表了公開聲明，除了向民進黨蔡英文主席表示祝賀，也公開感謝我上任後這幾年致力與美國發展堅實夥伴關係，並對我們近年來為改善兩岸關係所採取的具體措施表示讚賞。（The United States thanks President Ma Ying-jeou for his efforts to develop a strong partnership with the United States and applauds him for concrete steps he has taken to improve cross-Strait ties in recent years.）。（美國國務院新聞稿連結: http://goo.gl/fuJf6q）這次來訪，伯恩斯先生也告訴我，「臺美間的非官方關係從來沒像目前這麼好（has never been better），您對此有極大的功勞（deserve much credits）」，本次的選舉結果，也再次彰顯臺灣民主是一個成功的故事。對於這些來自美國國務院的肯定，我也特別向伯恩斯先生表達感謝。我也告訴伯恩斯先生，上個禮拜我國和平完成了總統大選，過程十分平和，顯示臺灣民主已逐漸成熟，也代表中華民國憲政秩序穩固。選舉結果出爐後，我也致電蔡英文主席，除了表達我的衷心祝賀，也希望新的政府上任後，能夠持續維持臺海和平與繁榮的現狀。,added_photos,https://www.facebook.com/MaYingjeou/photos/a.140389499356524.27404.118250504903757/1094020483993416/?type=3,Timeline Photos,1667,29206,475,2016/01/19 13:30:10
1_20,comment,Rhett Kao(885572331488381), ,2016/01/19 13:35:15, ,1094020483993416_1094022153993249,不求光榮喝采，無懼民意短期向背。追求美好，一心為台。馬總統，我們會想念你的！, , , , ,17, , ,
1_21,comment,Weiming Chou(10202702552923222), ,2016/01/19 13:35:18, ,1094020483993416_1094022173993247,選舉已經結束了希望各位一同努力淚)。。。, , , , ,9, , ,
1_22,comment,松野 ? ?(705125642966505), ,2016/01/19 13:35:33, ,1094020483993416_1094022273993237,陳來 陳婕瑜,tagging, , , ,0, , ,
1_23,comment,陳柏穎(945217168855891), ,2016/01/19 13:35:45, ,1094020483993416_1094022370659894,辛苦了˙, , , , ,6, , ,
1_24,comment,湯美齡(884256901639988), ,2016/01/19 13:35:45, ,1094020483993416_1094022377326560,馬總統！辛苦您這八年！謝謝您????美菁姐很漂亮！她是最美的！記得跟她說喔??, , , , ,6, , ,
1_25,comment,王平野(374652196047567), ,2016/01/19 13:35:54, ,1094020483993416_1094022440659887,馬總統終於可放下重擔好好休息了！反正外省人做的再好也沒用!, , , , ,67, , ,
1_26,comment,Yu Wun Jheng(880942788641278), ,2016/01/19 13:35:54, ,1094020483993416_1094022453993219,馬總統謝謝您~, , , , ,15, , ,
1_27,comment,Cathy Liang(879425772125116), ,2016/01/19 13:36:00, ,1094020483993416_1094022493993215,馬總統辛苦了，感謝您八年努力。免簽讓我們出國旅遊便利，真的很有感。, , , , ,31, , ,
1_28,comment,水環境(648638338614088), ,2016/01/19 13:36:02, ,1094020483993416_1094022517326546,心目中永遠的總統，馬總統，謝謝您。, , , , ,16, , ,
1_29,comment,盧詩萍(1434630433512860), ,2016/01/19 13:36:04, ,1094020483993416_1094022543993210,別讓台灣空轉了　提早下台不是完美的結局？, , , , ,2, , ,
1_30,comment,Donna Liou(1485849181635604), ,2016/01/19 13:36:12, ,1094020483993416_1094022603993204,馬總統辛苦了！謝謝你為台灣的付出！, , , , ,11, , ,
1_31,comment,庭萱.(1552435201747607), ,2016/01/19 13:36:18, ,1094020483993416_1094022643993200,辛苦了，可以好好過日子了總統真的不好當, , , , ,44, , ,
1_32,comment,Cherry Liu(10205923364417693), ,2016/01/19 13:36:34, ,1094020483993416_1094022730659858,馬總統你很棒..謝謝你, , , , ,11, , ,
1_33,comment,蔣晏糴(1121959314484991), ,2016/01/19 13:36:42, ,1094020483993416_1094022767326521,馬總統 最棒的總統，永遠敬愛您!, , , , ,15, , ,
1_34,comment,歐陽楓(1069034976446167), ,2016/01/19 13:36:42, ,1094020483993416_1094022773993187,總統您辛苦了！！！??????謝謝你們這幾年來努力將台灣推向國際！改善台灣在國際間的發展～～～辛苦了，真的辛苦了！！！, , , , ,14, , ,
1_35,comment,手機女孩MiM(646484245386070), ,2016/01/19 13:36:48, ,1094020483993416_1094022783993186,要卸任了還搶著在人民面前邀功?!, , , , ,2, , ,
1_36,comment,Thomas Tsai(1575406706057231), ,2016/01/19 13:36:48, ,1094020483993416_1094022787326519,綠吱吱，滾回日本，你們祖宗是日本獼猴, , , , ,5, , ,
1_37,comment,孫玉芬(804751542911752), ,2016/01/19 13:36:51, ,1094020483993416_1094022800659851,歷史會還您一個公道, , , , ,17, , ,
1_38,comment,蘇招娣(1067987539882756), ,2016/01/19 13:36:58, ,1094020483993416_1094022847326513,馬總統，謝謝你！台灣有你真好！, , , , ,10, , ,
1_39,comment,Kelly Chang(1235500316466981), ,2016/01/19 13:37:05, ,1094020483993416_1094022887326509,一個登山者的日誌，「其實我們好多的雪山探險員並不是體力不夠或者是技術出現問題，而是因為內心那一點點的慾望，所以才永遠留在了雪山。」登雪山是這樣，其實人生又何嘗不是這樣？那些心中有太多功名利祿的人有幾個能真正登上人生的頂峰，只有那些不計名利的人，沒有心靈的包袱，才會安全地達到人生的巔峰，達到生命的最高度。慾望是最深的陷阱，只有丟掉慾望，丟掉我們命運中的包袱，我們才能抵達人生的頂點。〈記得共產黨的主要敵人是國民黨，現在的策略就是聯合次要敵人民進黨打擊主要敵人再消滅之，然後民進黨這種次要敵人，對他們簡直是太簡單啦！), , , , ,6, , ,
1_40,comment,志洋?(1551642591822314), ,2016/01/19 13:37:10, ,1094020483993416_1094022920659839,小?哥，?我???吧，台?省?的位子?你留?哩！！！真的！, , , , ,5, , ,
1_41,comment,Aileen Hsu(932240646795022), ,2016/01/19 13:37:37, ,1094020483993416_1094023310659800,馬帥台灣有您是福氣您辛苦了謝謝你把台灣用的這麼好KMT 加油??????????, , , , ,182, , ,
1_42,comment,羅鵬飛(175743412784693), ,2016/01/19 13:37:39, ,1094020483993416_1094023320659799,馬總統至少為了百姓，為了兩岸發展和平著想。蔡英文整天想著台獨，她根本沒有想到台獨的後果只會引起戰爭。還是馬總統會替人民替百姓著想, , , , ,418, , ,
1_43,comment,盧詩萍(1434630433512860), ,2016/01/19 13:37:42, ,1094020483993416_1094023337326464,從周子瑜的事件可以明顯洞見出　老黨一直以來都在說謊　集最大努力蒙騙台灣人民　因為我們的小女生在外拿著國旗會斷送前途　受到龐大大陸人欺凌　糟蹋　陳雲林來台時　老黨更是羞愧於國旗見人　馬英九的馬習會　胸前的國旗更見不得人　但是。。。突兀的是　腐朽老黨卻偏偏有人喜歡對蔡英文硬塞國民黨旗　硬是要他唱國歌　果真是精神錯亂的怪異黨, , , , ,3, , ,
1_44,comment,錢君君(1518736055089563), ,2016/01/19 13:37:46, ,1094020483993416_1094023360659795,辛苦了！馬總統。, , , , ,9, , ,
1_45,comment,Damon Yang(883175378371903), ,2016/01/19 13:37:47, ,1094020483993416_1094023363993128,馬總統謝謝你！你做的很好！, , , , ,6, , ,
1_46,comment,Man Kuen Hui(1493496384275543), ,2016/01/19 13:37:50, ,1094020483993416_1094023383993126,感謝馬總統對台灣這些年來的付出與努力！謝謝您!!您是民選來最正直清廉的好總統 ，加油馬總統，支持您！！, , , , ,210, , ,
1_47,comment,徐源寶(935696079784302), ,2016/01/19 13:37:58, ,1094020483993416_1094023410659790,再讓資歷比朱立倫老的當主席，貴黨就再趴20年吧…綠營都2.30歲的在打選戰了，你們還在老人政治???另外，這4個月你們馬政府再用兩手一攤、擺爛.....別說20年了，永遠消失都會!!!, , , , ,12, , ,
1_48,comment,孫泰鑫(887567897931760), ,2016/01/19 13:38:02, ,1094020483993416_1094023437326454,總統好好總統兩年後就會有人想起您的好了, , , , ,256, , ,
1_49,comment,吳安妮(163980983974699), ,2016/01/19 13:38:32, ,1094020483993416_1094023557326442,馬總統辛苦您了, , , , ,10, , ,
1_50,comment,Ti Bi(212288082445652), ,2016/01/19 13:38:39, ,1094020483993416_1094023593993105,馬總統，卸任之後，好好養養身，跑跑步，跟家人一起世界走透透，做閒雲野鶴去。你的默默付出，在之後的這幾年，會浮上水面。, , , , ,270, , ,
1_51,comment,Zhao-ren Zhang(970360182975094), ,2016/01/19 13:38:46, ,1094020483993416_1094023633993101,南無阿彌陀佛, , , , ,1, , ,
1_52,comment,鍾明福(1584499771812931), ,2016/01/19 13:38:57, ,1094020483993416_1094023667326431,馬總統是偉大的領袖，加油！, , , , ,8, , ,
1_53,comment,鄧越華(782368341877969), ,2016/01/19 13:39:03, ,1094020483993416_1094023693993095,您終於可以休息了感謝您這八年的付出在我們心中您永遠是我們的總統, , , , ,364, , ,
1_54,comment,黃金發(150875055283619), ,2016/01/19 13:39:15, ,1094020483993416_1094023737326424,https://www.ptt.cc/bbs/Gossiping/M.1453158988.A.445.html, , , , ,0, , ,
1_55,comment,陳月鳳(473810062770833), ,2016/01/19 13:39:19, ,1094020483993416_1094023780659753,加油, , , , ,5, , ,
1_56,comment,余承翰(963771773634071), ,2016/01/19 13:39:30, ,1094020483993416_1094023870659744,沒看過輸掉政權還這麼爽的總統和前黨主席！我真的很支持你，但是這結果真的挺讓人失望的，然後你還是無所作為！, , , , ,4, , ,
1_57,comment,Vincento Stewart(708739635899467), ,2016/01/19 13:39:37, ,1094020483993416_1094023953993069,, , , , ,0, , ,
1_58,comment,黃冠榜(839828656062977), ,2016/01/19 13:39:39, ,1094020483993416_1094023960659735,鄉民：佐伯斯下去領五百, , , , ,0, , ,
1_59,comment,程子清(1662453437359761), ,2016/01/19 13:39:53, ,1094020483993416_1094024030659728,?民党??失?了不要?心，?大??你?省?你管理。, , , , ,7, , ,
1_60,comment,David  Chen(738785876241268), ,2016/01/19 13:39:56, ,1094020483993416_1094024063993058,一個踏實做事的馬總統，一個炒地皮，暴力白賊的皇民菜花女，準備接總統了，台灣的不幸，選出如此這般女人，國之將衰, , , , ,10, , ,
1_61,comment,洪寧婕(664194837042201), ,2016/01/19 13:40:24, ,1094020483993416_1094024170659714,辛苦您這8年來的付出，永遠支持您！也希望新政府能帶給臺灣更好的未來～臺灣加油！, , , , ,54, , ,
1_62,comment,Leo Wen(956830511003206), ,2016/01/19 13:40:27, ,1094020483993416_1094024180659713,馬總統辛苦了！, , , , ,5, , ,
1_63,comment,姜瑟(1593428604273527), ,2016/01/19 13:40:34, ,1094020483993416_1094024230659708,馬總統:辛苦！歷史絕對必還您公道（陳文茜女士將您八年來對臺灣的貢獻及付出的心力…如數家珍，敘述完整）。德不孤.必有鄰！ 馬總統在華人史的一頁…必留令名。, , , , ,1786, , ,
1_64,comment,陳曉茹(1000608946624870), ,2016/01/19 13:40:42, ,1094020483993416_1094024240659707,感謝您, , , , ,5, , ,
1_65,comment,高寶豐(449314708566479), ,2016/01/19 13:41:00, ,1094020483993416_1094024320659699,馬總統與美方關係良好，美方擅長自然科學異於英方社會文化各有優缺點於社會., , , , ,0, , ,
1_66,comment,陳語婕(895164990555825), ,2016/01/19 13:41:16, ,1094020483993416_1094024407326357,支持馬總統       加油, , , , ,8, , ,
1_67,comment,Fang-yuan Chung(10203772812069575), ,2016/01/19 13:41:47, ,1094020483993416_1094024527326345,謝謝您了，辛苦了！祝福您安康!, , , , ,7, , ,
1_68,comment,Alice Chung(958956064135437), ,2016/01/19 13:41:57, ,1094020483993416_1094024593993005,馬總統以後是否參選立法院長, , , , ,1, , ,
1_69,comment,Yung Chun(789980124411032), ,2016/01/19 13:42:03, ,1094020483993416_1094024657326332,馬總統辛苦了。好捨不得您??, , , , ,8, , ,
1_70,comment,吳幸杞(920653934621706), ,2016/01/19 13:42:08, ,1094020483993416_1094024687326329,無三小路用 你會逃亡美國嗎, , , , ,4, , ,
1_71,comment,宋珍璧(973425606003338), ,2016/01/19 13:42:20, ,1094020483993416_1094024743992990,心目中永遠的總統～馬英九..., , , , ,11, , ,
1_72,comment,何芳羽(940652095988095), ,2016/01/19 13:42:22, ,1094020483993416_1094024757326322,馬總統我永遠支持你！！, , , , ,9, , ,
1_73,comment,卓雅婷(490366421137389), ,2016/01/19 13:42:30, ,1094020483993416_1094024793992985,謝謝, , , , ,5, , ,
1_74,comment,曾燕雪(139889356369231), ,2016/01/19 13:42:43, ,1094020483993416_1094024870659644,, , , , ,0, , ,
1_75,comment,徐快齡(383970371790878), ,2016/01/19 13:42:46, ,1094020483993416_1094024877326310,感謝！榮耀再現！讚！, , , , ,3, , ,
1_76,comment,蔣定森(876495629074282), ,2016/01/19 13:42:53, ,1094020483993416_1094024900659641,感謝總統，感謝在感謝謝謝馬總統替台灣百姓毀滅120年的國民黨馬總統真棒, , , , ,3, , ,
1_77,comment,Alice Chung(958956064135437), ,2016/01/19 13:43:02, ,1094020483993416_1094024923992972,王金平出來選總統, , , , ,0, , ,
1_78,comment,陳芬芳(975288859191348), ,2016/01/19 13:43:03, ,1094020483993416_1094024943992970,馬總統  加油！在台灣太善良會被欺負的丫, , , , ,17, , ,
1_79,comment,黃金發(150875055283619), ,2016/01/19 13:43:11, ,1094020483993416_1094024957326302,馬英九於任職臺北市長期間，將特別費每月固定匯入妻子周美青帳戶運用於私人用途，並以假發票報帳，拿公帑買奶罩真是笑話一則, , , , ,0, , ,
1_80,comment,黃金發(150875055283619), ,2016/01/19 13:43:15, ,1094020483993416_1094024970659634,馬英九於任職臺北市長期間，將特別費每月固定匯入妻子周美青帳戶運用於私人用途，並以假發票報帳，拿公帑買奶罩真是笑話一則, , , , ,0, , ,
1_81,comment,Erh-Mei Chao(1096761030337816), ,2016/01/19 13:43:18, ,1094020483993416_1094024983992966,您可以好好休息了陪夫人做公益, , , , ,1, , ,
1_82,comment,陳國華(651139975017988), ,2016/01/19 13:43:27, ,1094020483993416_1094025023992962,國際重要人士皆肯定馬總?，唯綠營和藍營大頭人物?馬總?，結果?馬總?的參選人皆慘敗（如陳、吳、吳、連、郝、張、朱、王幫...等）。, , , , ,246, , ,
1_83,comment,黃暻璇(998706520149010), ,2016/01/19 13:43:34, ,1094020483993416_1094025047326293,辛苦了！, , , , ,9, , ,
1_84,comment,Nang Ting Wei(10207246956836939), ,2016/01/19 13:43:41, ,1094020483993416_1094025067326291,馬總統?8年來您辛苦了！！, , , , ,6, , ,
1_85,comment,林琥珀(1578785945702881), ,2016/01/19 13:43:44, ,1094020483993416_1094025077326290,中國的 國民黨，  戰敗 從中國逃難到台灣， 台灣人 熱烈的歡迎，  想不到  國民匪黨卻 恩將仇報，  殘殺眾多台灣精英，  更是在台灣大勢A錢， 成為除了共產黨外， 全世界罪有錢的政黨- - - 國民黨 依然不思感恩台灣人， 長期只照顧 軍 公 教，  把一般台灣人當二等國民- - - 當  多數台灣人奴性沒有消失前， 國民匪黨當然可以囂張，  但  新一代的台灣人逐漸清醒了，  中國的 國民匪黨  只能消失在台灣- - - - -台灣 是 台灣   中國 是 中國，  清醒有良知的台灣人，  終究會選擇台灣本土的政黨- - -, , , , ,2, , ,
1_86,comment,陳盈瑞(10200669641860963), ,2016/01/19 13:43:46, ,1094020483993416_1094025087326289,大大 退休後 繼續經營臉書喔, , , , ,0, , ,
1_87,comment,馬英九翻譯員 My Angel Translator(171278696571658), ,2016/01/19 13:43:48, ,1094020483993416_1094025117326286,台獨貼貼紙不就好了！還打什麼仗？我們要用和平的方式革命推翻中華民國!!!我叫林飛帆，我支持台灣獨立，剩下就交給外交部了。, , , , ,1, , ,
1_88,comment,梁韻蘭(446192815571325), ,2016/01/19 13:44:04, ,1094020483993416_1094025173992947,抬頭仰望, , , , ,0, , ,
1_89,comment,Sarah  Liu(513273725502049), ,2016/01/19 13:44:20, ,1094020483993416_1094025247326273,馬總統，辛苦了，?岸?係很難處理，辛苦了, , , , ,13, , ,
1_90,comment,孟祥林(145417609155893), ,2016/01/19 13:44:23, ,1094020483993416_1094025253992939,https://tw.news.yahoo.com/poll/7c8bf5c0-be4b-11e5-b7e8-390058b1611e, , , , ,0, , ,
1_91,comment,Man Kuen Hui(1493496384275543), ,2016/01/19 13:44:25, ,1094020483993416_1094025263992938,請空心菜實現以下該要做的承諾！1、宣佈開放含瘦肉精的美豬進口２、宣布立即廢核4 ３、宣布核123不延役，4年任內全面廢核 ４、宣布電價不能漲 ５、宣布水價不能漲６、宣布油價不能漲７、宣布臺灣國成立８、宣布大學畢業薪資要50K９、宣布放棄南海主權１０、宣布放棄釣魚台主權１１、宣布廢除死刑１２、宣布廢除火力發電廠１３、宣布廢除ETC電子收費１４、宣布廢除美國給台灣免簽證１５、宣布廢除大陸給台灣免簽證１６、宣布廢除中華民國，並改名台灣國，申請加入聯合國(取消馬政府努力爭取來的161免簽國)@@@@@@@@@@@@@１７、反對服貿 １８、反對貨貿１９、反對ECFA２０、反對大小三通２１、反對兩岸直航２２、反對加入亞投行２３、反對自由經濟貿易區２４、反對大陸觀光客來台反對到大陸投資、工作，如果過去就是賣國賊２５、反對與大陸往來，如果使用大陸產品就是賣國賊~~~~~~~請你們一定要監督好以上蔡小姐的言論 ---- 這就是689 2.0造福人民的社會共識民意。, , , , ,557, , ,
1_92,comment,Stanley Cheung(1033297093350330), ,2016/01/19 13:44:36, ,1094020483993416_1094025303992934,馬總統一直被罵賣台，民進黨如果帶種最好是把所有馬政府的所畏賣台政策全部取消，直航也取消，不能掛國旗的國際活動也不要參加，奧運及WTO不接受用中華台北的名稱。民進黨你如果做得到我永遠都投票給你，不然你就是烏龜王八蛋。, , , , ,10, , ,
1_93,comment,??(1620399588207998), ,2016/01/19 13:44:59, ,1094020483993416_1094025407326257,怎么看照片像是被接?  ??影?水平, , , , ,0, , ,
1_94,comment,蔡雅雯(1108913352457502), ,2016/01/19 13:45:03, ,1094020483993416_1094025423992922,請問要怎麼樣才能跟馬總統見面 很想跟他合照 握手 他執政到現在都沒有看過他本人, , , , ,13, , ,
1_95,comment,阮阮七(10202793485233247), ,2016/01/19 13:45:17, ,1094020483993416_1094025507326247,永遠最愛馬總統, , , , ,3, , ,
1_96,comment,Khin Naing(10206068133561000), ,2016/01/19 13:45:23, ,1094020483993416_1094025573992907,郝龍斌當新黨黨主席很適合蛀蛀姐會蛀掉國民黨。能力不好比貪污更可怕。, , , , ,2, , ,
1_97,comment,程文子(1685992924968003), ,2016/01/19 13:45:27, ,1094020483993416_1094025590659572,千錯萬錯都是別人的錯，只會  怪天怪地怪  馬纓九。至少，我們 國民黨 就是 清廉。, , , , ,13, , ,
1_98,comment,曾名禾(1021263161266000), ,2016/01/19 13:45:29, ,1094020483993416_1094025603992904,感謝您這八年來的付出啊～～～, , , , ,5, , ,
1_99,comment,廖可筠(1556984864568028), ,2016/01/19 13:45:34, ,1094020483993416_1094025623992902,Yeah!!!!!!!!!!!, , , , ,0, , ,
1_100,comment,Yoshiki Huang(1012332408790520), ,2016/01/19 13:45:47, ,1094020483993416_1094025667326231,向馬總統致敬，未來歷史會還您公道。至少我是這樣堅信的。, , , , ,31, , ,
1_101,comment,李芷祥(818790338212984), ,2016/01/19 13:45:48, ,1094020483993416_1094025677326230,過去都過去了，沒有選舉到自我反省檢討也希望馬總統以後必須像當選蔡英文總統學習謙卑愛民親民才會得民心相挺。, , , , ,1, , ,
1_102,comment,YU Chia Wei(361512220716318), ,2016/01/19 13:45:53, ,1094020483993416_1094025700659561,不要太辛苦了，最後幾個月了，當完以後要好好休息，以後和你一起早上跑步！, , , , ,13, , ,
1_103,comment,吳佩璇(1006445972699313), ,2016/01/19 13:46:00, ,1094020483993416_1094025720659559,馬總統 辛苦您了～??感謝八年的付出 ??永遠支持您??????, , , , ,26, , ,
1_104,comment,Ching Shu Chen(950387375006562), ,2016/01/19 13:46:04, ,1094020483993416_1094025767326221,總統加油，你很棒的!, , , , ,5, , ,
1_105,comment,姜亭安(1083316185029359), ,2016/01/19 13:46:04, ,1094020483993416_1094025773992887,你的努力，我們都知道，謝謝你!馬總統，您辛苦了!, , , , ,21, , ,
1_106,comment,Alina Jian(909686772406513), ,2016/01/19 13:46:13, ,1094020483993416_1094025830659548,總統辛苦了！, , , , ,3, , ,
1_107,comment,May Kung(1439606036347544), ,2016/01/19 13:46:16, ,1094020483993416_1094025853992879,馬總統 您在我心目中是中華民國最「讚」的總統。永遠支持您 加油！, , , , ,21, , ,
1_108,comment,??威(1625435507705099), ,2016/01/19 13:46:28, ,1094020483993416_1094025897326208,我一直都想?台?看看，因?我?得那里有我?的?去，也有我?的未?。感?台?很近，也很??。因?我?城市不是申?自由行的城市。祝福台?！, , , , ,224, , ,
1_109,comment,劉永濤(150085261993236), ,2016/01/19 13:46:37, ,1094020483993416_1094025927326205,何不問一下特使，非官方關係這麼好，要不要提升一下，改成官方關係？, , , , ,1, , ,
1_110,comment,張和桂(716678361810570), ,2016/01/19 13:46:44, ,1094020483993416_1094025957326202,將近八年無戰爭之恐懼，感恩！ 剩下四個月左右，可否請問品德高尚能力又好的嚴長壽先生是否夠資格，及願意不願意擔任閣揆，讓國家越來越好呢？, , , , ,17, , ,
1_111,comment,Rita Wang(10153331570500259), ,2016/01/19 13:47:03, ,1094020483993416_1094026067326191,馬總統，我們挺您, , , , ,5, , ,
1_112,comment,Doris  Chiang(1610910412481581), ,2016/01/19 13:47:03, ,1094020483993416_1094026073992857,這次選舉怪怪的，好像高層與中美日溝通好要給蔡英文上似的，很詭異，, , , , ,5, , ,
1_113,comment,劉曉天(145810809106594), ,2016/01/19 13:47:11, ,1094020483993416_1094026090659522,馬總統辛苦了，您受委屈了，感謝您對台灣無怨無悔的付出。謝謝）））））, , , , ,32, , ,
1_114,comment,陳秀琴(893449814011496), ,2016/01/19 13:47:14, ,1094020483993416_1094026107326187,辛苦了，馬總統加油, , , , ,2, , ,
1_115,comment,姜泰安(948640255154782), ,2016/01/19 13:47:47, ,1094020483993416_1094026240659507,大敗選300多萬票後、這裡是馬老大唯一溫暖的地方, , , , ,7, , ,
1_116,comment,Steve Lin(1142116092471064), ,2016/01/19 13:48:39, ,1094020483993416_1094026467326151,菜主席講英文嗎?是否請馬總統幫助菜主席答謝美國前副國務卿伯恩斯?, , , , ,2, , ,
1_117,comment,楊鳳蘭(871439779592885), ,2016/01/19 13:48:44, ,1094020483993416_1094026490659482,您辛苦了~請好好休息!, , , , ,2, , ,
1_118,comment,陳武煌(837190166363277), ,2016/01/19 13:48:59, ,1094020483993416_1094026570659474,選上了才知道，空口說白話的民主進步黨，知道南海東海的重要，一切是騙票不敢說台獨了，也不改口說核能需要電，真的是穿裙子的說話不算的，台灣人好騙，好好做'別再阿扁第二，台灣就亡國了！, , , , ,6, , ,
